.	24	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	24	4	18166	154096	246700	397766	535335	685884	898669	1185652	1491934	1816043	2156696	2531492	2865191	3309737	3704805	4039847	4465082	4912921	5317465	5865589	6316824	6957594	7477684	8215895	8802744	9488763	10432112	11159407	12379896	13298522	14349506	15584010	17006437	18467589	20122133	21641470	24043429	25939224	29224875	666012608	
.	25	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	25	647	20118	157624	251138	405037	543889	697192	914287	1207251	1519185	1851481	2200150	2583752	2922530	3384045	3787710	4126997	4562156	5019722	5430885	5990369	6447439	7102430	7629227	8384806	8978689	9672407	10633518	11366920	12607665	13534245	14592485	15834832	17277834	18752431	20417108	21947704	24376210	26289943	29605038	666012608	
.	26	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	26	1943	19497	151274	241378	388456	523372	670770	882835	1169871	1474606	1800229	2140980	2514307	2845538	3303447	3701878	4035661	4468129	4923258	5328094	5881983	6333796	6984874	7506040	8259413	8845727	9534200	10489387	11217669	12453887	13372820	14423660	15657025	17097450	18563784	20218825	21741447	24160146	26057789	29355617	666012608	
.	27	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	27	10	18395	154202	246584	398328	535793	687344	904579	1199757	1513669	1847870	2197013	2579839	2917128	3384328	3790572	4129207	4567320	5029581	5440768	6004541	6460474	7121270	7646912	8406801	8998527	9692051	10658638	11392889	12638433	13563745	14620741	15862269	17313597	18786960	20445149	21976443	24417522	26328023	29644359	666012608	
.	28	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	28	6	17456	152166	244541	396682	535025	686545	903272	1196044	1506835	1839409	2187251	2569903	2908141	3371015	3776768	4116667	4555174	5015161	5426315	5987167	6446341	7105823	7632379	8393144	8987431	9683132	10649422	11386699	12631456	13561009	14622273	15867497	17317835	18797780	20462944	21999365	24436579	26345101	29654652	666012608	
.	29	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	29	2163	20272	160241	254448	407557	547586	702608	924411	1225499	1545171	1886113	2241899	2631817	2976278	3446521	3859116	4202768	4647789	5113979	5528393	6097359	6559256	7223988	7755088	8523143	9119824	9819643	10792246	11531452	12787076	13721486	14785830	16039039	17499988	18985100	20659749	22204355	24655076	26580213	29916155	666012608	
.	30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	30	23978	41463	176760	269797	422951	561405	714744	934803	1233846	1552200	1891484	2246357	2632794	2973190	3444773	3856267	4198751	4643951	5110853	5525141	6094055	6553346	7218905	7748255	8516216	9112227	9808245	10780040	11516395	12772307	13705037	14766335	16015119	17474124	18957736	20626279	22163099	24607026	26520459	29833759	666012608	
.	31	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	31	10575	31810	173225	270078	434255	581162	742066	969661	1275729	1601640	1946337	2307408	2700806	3049056	3519490	3934994	4282283	4728867	5198263	5618396	6188294	6654578	7319100	7855573	8624660	9225825	9929780	10899461	11642682	12896084	13832906	14899215	16155493	17610910	19100269	20778275	22323043	24773575	26701216	30031676	666012608	
.	32	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	32	227	17460	154765	247996	399653	538722	690833	908050	1201048	1514514	1847396	2197144	2578314	2917275	3374203	3777870	4116707	4552807	5010327	5418673	5976482	6430422	7084667	7607214	8358600	8950028	9639718	10596114	11328708	12565681	13489451	14544097	15781893	17219942	18690186	20345424	21863509	24282201	26174304	29455579	666012608	
.	33	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	33	940	18642	155644	248670	398192	537025	688298	904224	1198230	1511343	1844187	2194068	2575724	2915467	3365539	3767497	4107249	4540510	4993420	5401267	5953966	6409285	7059024	7581330	8327815	8917120	9604780	10553334	11282080	12510500	13431393	14482494	15720601	17149010	18619795	20274596	21794649	24206424	26099392	29379429	666012608	
.	34	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	34	11339	29699	169796	264817	417213	557301	711157	934304	1235281	1556068	1898758	2254359	2642375	2985602	3452923	3865270	4209747	4654008	5119844	5536317	6102333	6564770	7227752	7758731	8524207	9119599	9817803	10789216	11528014	12781528	13716372	14778009	16031285	17488061	18975109	20649773	22192463	24633875	26545904	29863197	666012608	
.	35	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	35	109003	126494	264937	358692	511886	652042	806341	1026760	1327227	1646088	1986247	2343273	2730144	3073219	3535902	3945898	4289368	4732161	5195046	5609362	6173931	6635200	7297554	7824987	8587499	9184064	9880600	10846336	11584250	12833526	13767118	14829037	16081908	17533406	19018711	20690088	22227712	24667577	26577448	29887286	666012608	
.	36	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	36	436	18473	160322	255734	411403	555327	711085	931347	1228234	1544897	1881340	2234742	2620453	2964708	3412791	3816890	4162829	4598936	5053855	5467909	6023174	6484747	7135917	7666495	8413722	9014182	9710969	10662789	11403438	12636587	13572278	14636387	15890637	17323006	18808695	20481445	22016882	24436856	26341665	29632893	666012608	
.	37	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	37	69077	86957	225666	320201	475332	617331	772796	993826	1293465	1611456	1950793	2305222	2692069	3035740	3495489	3904020	4248807	4691496	5154983	5569999	6132986	6595192	7255971	7786499	8546673	9146261	9843047	10809400	11549518	12795934	13730658	14793528	16046353	17494989	18982041	20653149	22187578	24622657	26527174	29824436	666012608	
.	38	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
